class,precision,recall,f1-score,support
angry,0.6981132075471698,0.5692307692307692,0.6271186440677966,65.0
fear,0.65625,0.4375,0.525,48.0
happy,0.9609120521172638,0.8805970149253731,0.9190031152647975,335.0
neutral,0.7094972067039106,0.8410596026490066,0.7696969696969697,151.0
sad,0.09090909090909091,0.6,0.15789473684210525,5.0
accuracy,0.7996688741721855,0.7996688741721855,0.7996688741721855,0.7996688741721855
macro avg,0.6231363114554871,0.6656774773610298,0.5997426931743337,604.0
weighted avg,0.8383634430739823,0.7996688741721855,0.8126530986532565,604.0
