,predicted_angry,predicted_fear,predicted_happy,predicted_neutral,predicted_sad
actual_angry,0.5692307692307692,0.06153846153846154,0.046153846153846156,0.18461538461538463,0.13846153846153847
actual_fear,0.1875,0.4375,0.020833333333333332,0.25,0.10416666666666667
actual_happy,0.005970149253731343,0.020895522388059702,0.8805970149253731,0.08059701492537313,0.011940298507462687
actual_neutral,0.026490066225165563,0.0,0.052980132450331126,0.8410596026490066,0.07947019867549669
actual_sad,0.2,0.0,0.0,0.2,0.6
